# Copyright (C) 1991-2008 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 8.0 Build 231 07/10/2008 Service Pack 1 SJ Web Edition
# File: C:\Users\dirk\Documents\FH\Lehre\Digitaltechnik\Praktikum\altera\Projects\introtutorial\light.csv
# Generated on: Tue Sep 02 19:25:20 2008

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Location,I/O Bank,I/O Standard,General Function,Special Function,Reserved,Enabled
x1,PIN_N25,5,3.3-V LVTTL,Dedicated Clock,"CLK4, LVDSCLK2p, Input",,Yes
x2,PIN_N26,5,3.3-V LVTTL,Dedicated Clock,"CLK5, LVDSCLK2n, Input",,Yes
f,PIN_AE22,7,3.3-V LVTTL,Column I/O,LVDS155n,,Yes
,PIN_E4,,3.3-V LVTTL,GND_PLL3,,,Yes
,PIN_H7,,3.3-V LVTTL,VCCD_PLL3,,,Yes
,PIN_G7,,3.3-V LVTTL,GND_PLL3,,,Yes
,PIN_E3,2,3.3-V LVTTL,Row I/O,ASDO,,Yes
,PIN_D3,2,3.3-V LVTTL,Row I/O,nCSO,,Yes
,PIN_B2,2,3.3-V LVTTL,Row I/O,LVDS49p/CRC_ERROR,,Yes
,PIN_B3,2,3.3-V LVTTL,Row I/O,LVDS49n/CLKUSR,,Yes
,PIN_E5,2,3.3-V LVTTL,Row I/O,PLL3_OUTp,,Yes
,PIN_F6,2,3.3-V LVTTL,Row I/O,PLL3_OUTn,,Yes
,PIN_C2,2,3.3-V LVTTL,Row I/O,LVDS48p,,Yes
,PIN_C3,2,3.3-V LVTTL,Row I/O,LVDS48n,,Yes
,PIN_G5,2,3.3-V LVTTL,Row I/O,LVDS47p,,Yes
,PIN_G6,2,3.3-V LVTTL,Row I/O,LVDS47n,,Yes
,PIN_F3,2,3.3-V LVTTL,Row I/O,LVDS46p,,Yes
,PIN_F4,2,3.3-V LVTTL,Row I/O,LVDS46n,,Yes
,PIN_D2,2,3.3-V LVTTL,Row I/O,LVDS45p,,Yes
,PIN_D1,2,3.3-V LVTTL,Row I/O,LVDS45n,,Yes
,PIN_F7,2,3.3-V LVTTL,Row I/O,,,Yes
,PIN_J5,2,3.3-V LVTTL,Row I/O,VREFB2N0,,Yes
,PIN_J8,2,3.3-V LVTTL,Row I/O,LVDS44p,,Yes
,PIN_J7,2,3.3-V LVTTL,Row I/O,LVDS44n,,Yes
,PIN_H6,2,3.3-V LVTTL,Row I/O,,,Yes
,PIN_E2,2,3.3-V LVTTL,Row I/O,LVDS43p,,Yes
,PIN_E1,2,3.3-V LVTTL,Row I/O,LVDS43n,,Yes
,PIN_K6,2,3.3-V LVTTL,Row I/O,LVDS42p,,Yes
,PIN_K5,2,3.3-V LVTTL,Row I/O,LVDS42n,,Yes
,PIN_G4,2,3.3-V LVTTL,Row I/O,LVDS41p,,Yes
,PIN_G3,2,3.3-V LVTTL,Row I/O,LVDS41n,,Yes
,PIN_J6,2,3.3-V LVTTL,Row I/O,,,Yes
,PIN_K8,2,3.3-V LVTTL,Row I/O,LVDS40p,,Yes
,PIN_K7,2,3.3-V LVTTL,Row I/O,LVDS40n,,Yes
,PIN_F2,2,3.3-V LVTTL,Row I/O,LVDS39p,,Yes
,PIN_F1,2,3.3-V LVTTL,Row I/O,LVDS39n,,Yes
,PIN_G1,2,3.3-V LVTTL,Row I/O,"LVDS38p, CDPCLK0/DQS2L/CQ3L",,Yes
,PIN_G2,2,3.3-V LVTTL,Row I/O,LVDS38n,,Yes
,PIN_H3,2,3.3-V LVTTL,Row I/O,LVDS37p,,Yes
,PIN_H4,2,3.3-V LVTTL,Row I/O,LVDS37n,,Yes
